State,Action,Q_Value
[[ 1.0540557   0.84660857 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   0.76759098 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   0.6322112  -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   0.68028484 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   0.81676976 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   0.78693095 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   0.82616346 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   0.76869613 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   0.76593327 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   0.84218801 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   0.91844274 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   0.83555716 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   0.90076049 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   0.8366623  -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   0.80516578 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   0.81676976 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   0.74990873 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   0.73001619 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   0.73885732 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   0.73940989 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   0.82284804 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   0.78472067 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   0.93170444 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   0.95822782 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   0.99635519 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   0.99359234 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   0.91402218 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   0.78251039 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   0.84274058 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   0.95712268 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   1.01790544 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   0.97812036 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   0.90739133 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   0.86650111 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   0.83555716 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   0.83610973 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   0.86318569 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   0.91457475 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   0.81953262 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   0.84108287 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   0.82782117 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   0.82782117 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   0.71343907 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   0.64602546 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   0.48522744 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   0.41891897 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   0.35703107 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   0.42223439 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   0.43604866 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   0.36752991 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   0.43218066 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   0.36089906 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   0.37913389 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   0.46367718 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   0.53937935 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   0.5327485  -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   0.47638631 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   0.29845859 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
[[ 1.0540557   0.33824367 -1.01948801]],0,[-0.02864964 -0.02053162 -0.02720601]
